period,address,unit,area,building_type,work_type,value,lat,lng,permit_no
2023-02,1057 Main Street West,,Hamilton,Medical Offices,Alteration,210000,43.25801,-79.90862,22-155655-00 C9
2023-02,1280 Mohawk Road,,Ancaster,Medical Offices,Alteration,40000,43.23281,-79.93205,22-156361-00 C9
2023-02,247 John Street South,,Hamilton,Medical Offices,Alteration,50000,43.24954,-79.86875,23-100259-00 C9
2023-01,47 Cootes Drive,,Dundas,Medical Offices,Alteration,,43.26568,-79.9458,22-102903-01 C3
2023-01,95 Hamilton Street North,,Flamborough,Dental Offices,Alteration,80000,43.3345,-79.90099,22-143239-00 C3
2023-01,575 Upper James Street,,Hamilton,Dental Offices,Alteration,100000,43.24034,-79.87635,22-149668-00 C9
2023-01,30 Rymal Road East,,Hamilton,Dental Offices,Alteration,100000,43.20175,-79.89184,22-151960-00 C3
2022-12,23 Main Street,,Dundas,Medical Offices,Alteration,50000,43.2654,-79.95302,22-109612-00 R3
2022-12,20 Clappison Avenue,,Flamborough,Medical Offices,Alteration,1100000,43.31968,-79.91226,22-124067-00 C3
2022-12,54 Queen Street South,,Hamilton,Medical Offices,Alteration,50000,43.25804,-79.87967,22-146966-00 C3
2022-12,1314 Upper Wentworth Street,,Hamilton,Dental Offices,Alteration,100000,43.20712,-79.86943,22-146973-00 C9
2022-12,150 Main Street West,,Hamilton,Medical Offices,Alteration,,43.25715,-79.87598,22-150708-00 C3
2022-12,247 John Street South,,Hamilton,Medical Offices,Alteration,20000,43.24954,-79.86875,22-151832-00 C9
2022-12,247 John Street South,,Hamilton,Medical Offices,Alteration,,43.24954,-79.86875,22-151832-01 C9
2022-12,631 Queenston Road,,Hamilton,Medical Offices,Alteration,30000,43.23102,-79.77504,22-152615-00 C3
2022-11,47 Cootes Drive,,Dundas,Medical Offices,Alteration,48025,43.26568,-79.9458,22-102903-00 C3
2022-11,90 Wellington Street North,,Hamilton,Dental Offices,Alteration,150000,43.25597,-79.85783,22-106389-00 C3
2022-11,150 Main Street West,,Hamilton,Medical Offices,Tenant Improve,2500000,43.25715,-79.87598,22-126965-00 C3
2022-11,1430 Concession 6 West,,Flamborough,Laboratory - Industrial,New Construction,1131577,43.33143,-80.09363,22-141836-00 I9
2022-11,80 Queen Street North,,Hamilton,Nursing Homes,Alteration,76230,43.26135,-79.87753,22-142223-00 G3
2022-10,148 Parkdale Avenue North,,Hamilton,Medical Offices,Alteration,,43.24026,-79.78999,21-102699-05 C3
2022-10,25 Charlton Avenue East,,Hamilton,Medical Offices,Alteration,,43.24975,-79.87121,22-113946-01 C3
2022-10,285 Carlisle Road,,Flamborough,Medical Offices,Alteration,150000,43.39505,-79.98028,22-129307-00 C9
2022-10,115 Hamilton Street North,,Flamborough,Medical Offices,Alteration,90000,43.3355,-79.90245,22-131342-00 C3
2022-10,35 Stone Church Road,,Ancaster,Dental Offices,Alteration,315000,43.22749,-79.93604,22-140274-00 C3
2022-09,286 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,150000,43.26136,-79.8528,20-180878-00 C9
2022-09,430 Cannon Street East,,Hamilton,Medical Offices,New Construction,11654000,43.25584,-79.84851,22-117631-00 C3
2022-09,2130 King Street East,,Hamilton,Medical Offices,Alteration,75000,43.23063,-79.80198,22-120480-00 C3
2022-09,36 King Street West,,Dundas,Medical Offices,Alteration,15000,43.26613,-79.95552,22-125289-00 C9
2022-09,847 Lynden Road,,Ancaster,Medical Offices,Alteration,9571,43.22421,-80.14211,22-125618-00 C9
2022-09,760 Mohawk Road West,,Hamilton,Dental Offices,Alteration,50000,43.23434,-79.92021,22-131321-00 C3
2022-08,565 Sanatorium Road,,Hamilton,Medical Offices,Alteration,450000,43.23999,-79.91544,22-110775-00 C3
2022-08,135 James Street South,,Hamilton,Dental Offices,Alteration,35000,43.25271,-79.87037,22-120994-00 C9
2022-08,25 Charlton Avenue East,,Hamilton,Medical Offices,Alteration,20000,43.24975,-79.87121,22-121098-00 C3
2022-08,183 Hughson Street South,,Hamilton,Dental Offices,Alteration,20000,43.24996,-79.87036,22-122954-00 C9
2022-08,430 Cannon Street East,,Hamilton,Medical Offices,Foundation,538300,43.25584,-79.84851,22-122964-00 C3
2022-08,297 Highway No. 8,,Stoney Creek,Dental Offices,Alteration,60000,43.22087,-79.73179,22-132458-00 C3
2022-07,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,6400000,43.25461,-79.90266,21-129768-00 I3
2022-07,1120 Barton Street East,,Hamilton,Medical Offices,Alteration,,43.25085,-79.81467,21-153017-01 C3
2022-06,148 Parkdale Avenue North,,Hamilton,Medical Offices,Alteration,,43.24026,-79.78999,21-102699-04 C3
2022-06,95 Hamilton Street North,,Flamborough,Medical Offices,Alteration,35000,43.3345,-79.90099,22-109412-00 C3
2022-06,25 Charlton Avenue East,,Hamilton,Medical Offices,Alteration,100000,43.24975,-79.87121,22-113946-00 C3
2022-06,101 Locke Street South,,Hamilton,Medical Offices,Alteration,400000,43.25767,-79.88445,22-120286-00 C3
2022-05,1050 Paramount Drive,,Stoney Creek,Medical Offices,Alteration,10000,43.19933,-79.79413,21-130536-01 C3
2022-05,623 Upper James Street,,Hamilton,Dental Offices,Tenant Improve,950000,43.23894,-79.87695,22-104074-00 C3
2022-05,56 Governor's Road,,Dundas,Nursing Homes,Alteration,178000,43.26185,-79.95782,22-106058-00 G3
2022-05,94 Main Street,,Dundas,Medical Offices,Alteration,75000,43.26291,-79.95225,22-114905-00 C3
2022-04,66 Innovation Drive,,Flamborough,Laboratory - Commercial,Alteration,500000,43.30833,-79.91728,21-143012-00 C3
2022-04,40 Mallard Trail,,Flamborough,Dental Offices,Alteration,250000,43.34372,-79.87745,22-102875-00 C3
2022-04,280 Queenston Road,,Hamilton,Medical Offices,Alteration,20000,43.234,-79.7923,22-104385-00 C9
2022-04,292 Dundas Street East,,Flamborough,Dental Offices,Tenant Improve,100000,43.33194,-79.89401,22-116435-00 C9
2022-03,80 King Street East,,Stoney Creek,Dental Offices,Alteration,,43.2163,-79.75338,20-192247-01 C9
2022-03,148 Parkdale Avenue North,,Hamilton,Medical Offices,Alteration,,43.24026,-79.78999,21-102699-03 C3
2022-03,2 King Street West,,Hamilton,Medical Offices,Alteration,100000,43.25711,-79.86938,21-151629-01 C3
2022-03,50 Forest Avenue,,Hamilton,Dental Offices,Alteration,30000,43.24973,-79.8697,21-158921-00 C9
2022-02,910 Queenston Road,,Stoney Creek,Medical Offices,Alteration,600000,43.22571,-79.756,21-163047-00 C9
2022-02,1125 Main Street East,,Hamilton,Medical Offices,Alteration,30000,43.24344,-79.82252,21-163091-00 C9
2022-02,101 Creighton Road,,Dundas,Nursing Homes,Alteration,10000,43.2611,-79.968,22-105115-00 G3
2022-01,2623 Binbrook Road,,Glanbrook,Medical Offices,Alteration,,43.12008,-79.80281,21-146116-01 C9
2022-01,1120 Barton Street East,,Hamilton,Medical Offices,Alteration,500000,43.25085,-79.81467,21-153017-00 C3
2021-12,754 Queenston Road,,Hamilton,Dental Offices,Alteration,80000,43.22836,-79.76922,21-145104-00 C3
2021-12,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,366000,43.25461,-79.90266,21-153373-00 I3
2021-11,148 Parkdale Avenue North,,Hamilton,Medical Offices,Alteration,,43.24026,-79.78999,21-102699-02 C3
2021-11,9210 Airport Road West,,Glanbrook,Dental Offices,Alteration,239500,43.15853,-79.92208,21-113800-00 C9
2021-11,723 Rymal Road West,,Hamilton,Nursing Homes,Alteration,5000,43.20988,-79.92658,21-141982-00 G3
2021-11,2 King Street West,,Hamilton,Medical Offices,Alteration,100000,43.25711,-79.86938,21-151629-00 C3
2021-11,969 Fennell Avenue East,,Hamilton,Medical Offices,Alteration,125000,43.22805,-79.83782,21-151846-00 C3
2021-11,801 Upper Gage Avenue,,Hamilton,Nursing Homes,Replace,279130,43.21988,-79.84183,21-154894-00 G3
2021-10,1800 Stone Church Road East,,Stoney Creek,Medical Offices,Alteration,20000,43.19098,-79.81239,21-138761-00 C9
2021-10,648 Upper James Street,,Hamilton,Medical Offices,Alteration,200000,43.23665,-79.87859,21-139501-00 C9
2021-10,44 Frid Street,,Hamilton,Laboratory - Industrial,Alteration,1700000,43.25934,-79.89342,21-142504-00 I3
2021-10,20 Clappison Avenue,,Flamborough,Medical Offices,Alteration,180000,43.31968,-79.91226,21-145262-00 C3
2021-10,50 Dundurn Street South,,Hamilton,Dental Offices,Alteration,100000,43.26135,-79.88939,21-145437-00 C3
2021-09,148 Parkdale Avenue North,,Hamilton,Medical Offices,Alteration,,43.24026,-79.78999,21-102699-01 C3
2021-09,1544 Main Street West,,Hamilton,Medical Offices,Alteration,150000,43.25785,-79.9246,21-112068-00 C9
2021-09,928 Barton Street East,,Hamilton,Medical Offices,Alteration,250000,43.2532,-79.82436,21-125592-00 C9
2021-09,64 James Street South,,Hamilton,Medical Offices,Alteration,400000,43.25479,-79.87022,21-135101-00 C3
2021-09,848 Main Street East,,Hamilton,Dental Offices,Alteration,460000,43.24629,-79.83568,21-136129-00 C9
2021-09,385 Wilson Street East,,Ancaster,Medical Offices,Alteration,100000,43.22825,-79.97608,21-138180-00 C3
2021-08,642 Upper James Street,,Hamilton,Dental Offices,Alteration,160000,43.23704,-79.87842,21-120817-00 C9
2021-08,270 Longwood Road South,,Hamilton,Laboratory - Commercial,Addition (NR),400000,43.25461,-79.90266,21-133432-00 C3
2021-08,115 Hamilton Street North,,Flamborough,Medical Offices,Alteration,10000,43.3355,-79.90245,21-134764-00 C3
2021-08,101 Osler Drive,,Dundas,Medical Offices,Alteration,40000,43.25951,-79.94338,21-137334-00 C3
2021-07,11 Cross Street,,Dundas,Medical Offices,Alteration,150000,43.2666,-79.95333,21-119133-00 C9
2021-07,181 Main Street West,,Hamilton,Medical Offices,Tenant Improve,1223000,43.25697,-79.87771,21-129052-00 C3
2021-07,1050 Paramount Drive,,Stoney Creek,Medical Offices,Alteration,10000,43.19933,-79.79413,21-130536-00 C3
2021-05,105 Main Street East,,Hamilton,Dental Offices,Alteration,100000,43.25455,-79.8655,20-178839-00 C3
2021-05,110 King Street West,,Hamilton,Dental Offices,Alteration,50000,43.25764,-79.87129,20-185793-01 C3
2021-05,1440 Main Street East,,Hamilton,Medical Offices,Alteration,40000,43.23969,-79.8086,21-124453-00 C3
2021-04,148 Parkdale Avenue North,,Hamilton,Medical Offices,Alteration,400000,43.24026,-79.78999,21-102699-00 C3
2021-03,80 King Street East,,Stoney Creek,Dental Offices,Alteration,250000,43.2163,-79.75338,20-192247-00 C9
2021-03,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,23000000,43.25461,-79.90266,20-192568-00 I3
2021-03,73 Wilson Street West,,Ancaster,Dental Offices,Alteration,150000,43.21621,-79.99034,21-101494-00 C3
2021-03,1024 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,122850,43.21645,-79.86553,21-108653-00 C3
2021-02,1527 Upper Ottawa Street,,Hamilton,Medical Offices,Alteration,188000,43.19332,-79.84238,20-195716-00 C3
2021-02,2537 Regional Road 56,,Glanbrook,Medical Offices,Alteration,10000,43.1245,-79.80218,20-197971-00 C3
2021-01,81 Wilson Street West,,Ancaster,Medical Offices,Alteration,,43.21602,-79.99065,20-176021-01 C9
2021-01,183 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,435000,43.25601,-79.9011,20-189430-00 I3
2021-01,310 Limeridge Road West,,Hamilton,Medical Offices,Alteration,300000,43.22378,-79.89867,20-195237-00 C3
2020-12,612 Upper James Street,,Hamilton,Dental Offices,Alteration,500000,43.23851,-79.87773,20-166097-00 C9
2020-12,4 Cootes Drive,,Dundas,Dental Offices,Alteration,200000,43.26531,-79.9502,20-190831-00 C9
2020-11,754 Queenston Road,,Hamilton,Medical Offices,Alteration,25000,43.22836,-79.76922,20-183086-00 C3
2020-11,110 King Street West,,Hamilton,Dental Offices,Alteration,50000,43.25764,-79.87129,20-185793-00 C3
2020-11,247 Centennial Parkway North,,Hamilton,Dental Offices,Alteration,5000,43.23776,-79.76137,20-185805-00 C9
2020-10,229 King Street East,,Hamilton,Medical Offices,Alteration,,43.2547,-79.86222,19-159436-01 C9
2020-10,182 Jackson Street East,,Hamilton,Dental Offices,Tenant Improve,70000,43.25254,-79.86293,20-178155-00 C9
2020-10,75 Centennial Parkway North,,Hamilton,Dental Offices,Alteration,100000,43.2307,-79.76393,20-183845-00 C3
2020-10,44 Frid Street,,Hamilton,Laboratory - Industrial,Alteration,20000,43.25934,-79.89342,20-185059-00 I3
2020-09,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,800000,43.25461,-79.90266,19-159797-00 I3
2020-09,81 Wilson Street West,,Ancaster,Medical Offices,Alteration,10000,43.21602,-79.99065,20-176021-00 C3
2020-09,780 Highway No. 6,,Flamborough,Medical Offices,Alteration,12000,43.33177,-79.94371,20-181897-00 C9
2020-08,1802 Stone Church Road East,,Stoney Creek,Medical Offices,Alteration,,43.19065,-79.81371,20-156111-01 C9
2020-07,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,,43.25461,-79.90266,18-128649-01 I3
2020-06,7 Innovation Drive,,Flamborough,Laboratory - Industrial,Alteration,100000,43.30997,-79.91764,20-149860-00 I3
2020-05,2120 Rymal Road East,,Glanbrook,Dental Offices,Alteration,500000,43.17623,-79.7913,20-156563-00 C3
2020-04,229 King Street East,,Hamilton,Medical Offices,Alteration,500000,43.2547,-79.86222,19-159436-00 C9
2020-04,1802 Stone Church Road East,,Stoney Creek,Medical Offices,Alteration,75000,43.19065,-79.81371,20-156111-00 C9
2020-04,118 1/2 Hatt Street,,Dundas,Medical Offices,Tenant Improve,130000,43.26572,-79.95927,20-157088-00 C9
2020-04,146 Highway No. 8,,Stoney Creek,Dental Offices,Alteration,,43.22312,-79.74479,20-157431-00 C3
2020-03,146 Highway No. 8,,Stoney Creek,Dental Offices,Alteration,50000,43.22312,-79.74479,20-151454-00 C3
2020-03,870 Lawrence Road,,Hamilton,Medical Offices,Alteration,5000,43.22886,-79.80319,20-152053-00 C3
2020-02,67 Kenilworth Avenue North,,Hamilton,Medical Offices,Alteration,10000,43.24247,-79.8094,19-130765-02 C9
2020-02,2 Castlewood Boulevard,,Dundas,Medical Offices,Alteration,50000,43.25873,-79.97911,19-158715-00 C3
2020-02,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Alteration,9000,43.22605,-79.84947,20-146822-00 G3
2020-01,773 Barton Street East,,Hamilton,Medical Offices,Alteration,,43.2555,-79.83163,18-120319-02 C9
2020-01,560 Highland Road West,,Stoney Creek,Medical Offices,Tenant Improve,80000,43.18855,-79.80778,19-153469-00 C9
2019-12,8 Kingsborough Drive,,Glanbrook,Dental Offices,Alteration,80000,43.17701,-79.79635,19-148615-00 C9
2019-11,56 Governor's Road,,Dundas,Nursing Homes,Alteration,5000,43.26185,-79.95782,19-128793-02 G3
2019-11,1812 Rymal Road East,,Glanbrook,Dental Offices,Alteration,60000,43.18228,-79.81958,19-147201-00 C3
2019-10,145 Hamilton Street North,,Flamborough,Medical Offices,Alteration,,43.33378,-79.89961,19-126182-01 C3
2019-10,283 Dundas Street East,,Flamborough,Medical Offices,Alteration,37500,43.33188,-79.89511,19-145475-00 C9
2019-09,56 Governor's Road,,Dundas,Nursing Homes,Alteration,280374,43.26185,-79.95782,19-128793-00 G3
2019-09,73 King Street East,,Hamilton,Dental Offices,Alteration,50000,43.25618,-79.86676,19-136965-00 C9
2019-09,2 King Street West,,Hamilton,Dental Offices,Alteration,250000,43.25711,-79.86938,19-137946-00 C3
2019-08,170 Ogilvie Street,,Dundas,Nursing Homes,New Construction,8000000,43.26014,-79.95579,18-137811-00 G3
2019-08,575 Upper James Street,,Hamilton,Dental Offices,Alteration,500000,43.24034,-79.87635,19-115636-00 C9
2019-08,68 Centennial Parkway South,,Stoney Creek,Medical Offices,Tenant Improve,71550,43.22502,-79.76492,19-130650-00 C3
2019-08,67 Kenilworth Avenue North,,Hamilton,Medical Offices,Alteration,3000,43.24247,-79.8094,19-130765-00 C9
2019-08,52 Cannon Street West,,Hamilton,Medical Offices,Alteration,35000,43.26145,-79.86951,19-138279-00 C3
2019-07,1266 South Service Road,,Stoney Creek,Laboratory - Industrial,Alteration,58500,43.21853,-79.64735,19-118786-00 I3
2019-07,45 Lockton Crescent,,Hamilton,Nursing Homes,Alteration,7000,43.21156,-79.84743,19-127558-00 G3
2019-07,45 Lockton Crescent,,Hamilton,Nursing Homes,Alteration,13178,43.21156,-79.84743,19-131066-00 G3
2019-06,145 Hamilton Street North,,Flamborough,Medical Offices,Alteration,310000,43.33378,-79.89961,19-126182-00 C3
2019-04,119 Osler Drive,,Dundas,Medical Offices,Alteration,125000,43.25849,-79.94142,19-106373-00 C3
2019-04,675 Rymal Road East,,Hamilton,Dental Offices,Alteration,75000,43.19539,-79.86269,19-109697-00 C3
2019-03,1265 Upper James Street,,Hamilton,Medical Offices,Addition (NR),,43.21364,-79.8873,18-114029-01 C9
2019-03,477 Dundas Street East,,Flamborough,Dental Offices,Alteration,500000,43.34469,-79.87901,19-104063-00 C9
2019-02,1412 Sandhill Drive,,Ancaster,Laboratory - Industrial,Alteration,10000,43.19015,-80.03127,18-134558-00 I9
2018-12,773 Barton Street East,,Hamilton,Medical Offices,Alteration,,43.2555,-79.83163,18-120319-01 C9
2018-12,1028 Highway No. 5 West,,Flamborough,Medical Offices,Alteration,12000,43.28656,-80.03159,18-142435-00 C9
2018-12,14 Duke Street,,Hamilton,Medical Offices,Alteration,30000,43.25204,-79.87181,18-145414-00 C9
2018-10,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,15000000,43.25461,-79.90266,18-128649-00 I3
2018-10,314 Queenston Road,,Hamilton,Medical Offices,Alteration,75000,43.23364,-79.79061,18-130698-00 C3
2018-10,200 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,200000,43.25572,-79.90231,18-136150-00 I3
2018-09,1265 Upper James Street,,Hamilton,Medical Offices,Addition (NR),95000,43.21364,-79.8873,18-114029-00 C9
2018-09,41 South Street West,,Dundas,Nursing Homes,Alteration,400000,43.25986,-79.94927,18-129937-00 G3
2018-08,773 Barton Street East,,Hamilton,Medical Offices,Alteration,17000,43.2555,-79.83163,18-120319-00 C9
2018-08,314 Queenston Road,,Hamilton,Medical Offices,Alteration,1500,43.23364,-79.79061,18-122894-00 C3
2018-08,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,500000,43.25461,-79.90266,18-125358-00 I3
2018-06,2579 King Street East,,Hamilton,Medical Offices,Alteration,60000,43.22381,-79.78344,17-131600-00 C9
2018-06,1039 Upper James Street,,Hamilton,Medical Offices,Alteration,85000,43.22122,-79.88429,18-105117-00 C3
2018-05,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,,43.25461,-79.90266,18-106408-01 I3
2018-05,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Alteration,2000,43.22605,-79.84947,18-113189-00 G3
2018-05,301 Fruitland Road,,Stoney Creek,Medical Offices,Backflow Preventer,2500,43.22216,-79.70131,18-113791-00 PPP
2018-04,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,,43.25461,-79.90266,17-124905-01 I3
2018-04,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,10000,43.25461,-79.90266,18-106408-00 I3
2018-04,277 Stone Church Road East,,Hamilton,Nursing Homes,Alteration,75000,43.20834,-79.87684,18-108192-00 G3
2018-04,681 Mud Street East,,Stoney Creek,Laboratory - Industrial,Foundation,,43.1751,-79.70685,18-110002-00 I3
2018-03,2257 Rymal Road East,,Stoney Creek,Medical Offices,Alteration,75000,43.17416,-79.77907,18-105811-00 C9
2018-02,1508 Upper James Street,,Hamilton,Dental Offices,Alteration,80000,43.20608,-79.89215,18-100897-00 C3
2018-01,41 South Street West,,Dundas,Nursing Homes,Alteration,500000,43.25986,-79.94927,17-132383-00 G3
2018-01,701 Upper Sherman Avenue,,Hamilton,Nursing Homes,Alteration,150000,43.22605,-79.84947,17-133708-00 G3
2018-01,2255 Barton Street East,,Hamilton,Laboratory - Commercial,Alteration,140000,43.23971,-79.77096,17-134301-00 C3
2018-01,2280 Barton Street East,,Hamilton,Laboratory - Industrial,Backflow Preventer,10000,43.23642,-79.76991,17-135130-00 PPP
2018-01,2280 Barton Street East,,Hamilton,Laboratory - Industrial,Backflow Preventer,5000,43.23642,-79.76991,18-101252-00 PPP
2017-12,1338 South Service Road,,Stoney Creek,Dental Offices,Alteration,80000,43.21698,-79.64165,17-125130-00 C9
2017-11,340 York Boulevard,,Hamilton,Dental Offices,Alteration,,43.26407,-79.87858,17-108550-01 C3
2017-11,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,1200000,43.25461,-79.90266,17-124905-00 I3
2017-10,700 Woodward Avenue,,Hamilton,Laboratory - Industrial,Addition (NR),500000,43.25276,-79.77366,17-120214-00 I3
2017-10,700 Woodward Avenue,,Hamilton,Laboratory - Industrial,New Construction,200000,43.25276,-79.77366,17-122512-00 I3
2017-08,369 Highway No. 8,,Stoney Creek,Dental Offices,Alteration,200000,43.21955,-79.72538,17-120078-00 C3
2017-07,141 King Street East,,Stoney Creek,Dental Offices,Alteration,,43.21778,-79.74764,15-118257-01 C9
2017-07,170 Rockhaven Lane,,Flamborough,Medical Offices,Alteration,100000,43.33438,-79.90187,17-113650-00 C3
2017-07,329 Parkside Drive,,Flamborough,Nursing Homes,Backflow Preventer,10000,43.34116,-79.89957,17-115776-00 PPP
2017-06,825 North Service Road,,Stoney Creek,Medical Offices,Alteration,80000,43.22845,-79.68094,17-102947-00 C3
2017-06,1144 Wilson Street West,,Ancaster,Medical Offices,Alteration,35000,43.197,-80.01851,17-108664-00 C3
2017-06,905 Rymal Road East,,Hamilton,Medical Offices,Alteration,100000,43.19336,-79.85254,17-111572-00 C3
2017-06,200 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,40000,43.25572,-79.90231,17-111838-00 I3
2017-06,45 Lockton Crescent,,Hamilton,Nursing Homes,Alteration,250000,43.21156,-79.84743,17-112881-00 G3
2017-05,825 North Service Road,,Stoney Creek,Medical Offices,Alteration,80000,43.22845,-79.68094,17-105387-00 C3
2017-05,340 York Boulevard,,Hamilton,Dental Offices,Alteration,90000,43.26407,-79.87858,17-108550-00 C3
2017-05,825 North Service Road,,Stoney Creek,Medical Offices,Alteration,3500,43.22845,-79.68094,17-110787-00 C3
2017-04,263 Mohawk Road West,,Hamilton,Medical Offices,Alteration,5000,43.23046,-79.89146,17-101552-00 C9
2017-04,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,50000,43.25461,-79.90266,17-106060-00 I3
2017-02,666 Upper James Street,,Hamilton,Medical Offices,Alteration,30000,43.23532,-79.87918,16-127591-01 C9
2017-02,117 Market Street,,Hamilton,Laboratory - Industrial,Alteration,100000,43.25923,-79.87514,16-133461-00 I9
2017-02,30 Rymal Road East,,Hamilton,Medical Offices,Alteration,200000,43.20175,-79.89184,16-134142-00 C3
2017-02,849 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,120000,43.22185,-79.86106,17-101819-00 C3
2017-01,419 Dundas Street East,,Flamborough,Medical Offices,Alteration,100000,43.34088,-79.88435,16-133875-00 C3
2017-01,49 East Avenue South,,Hamilton,Dental Offices,Alteration,21387,43.25128,-79.85586,16-135047-00 C9
2017-01,230 James Street South,,Hamilton,Medical Offices,Alteration,70000,43.24965,-79.87239,16-135099-00 C9
2016-12,9 Lake Avenue South,,Stoney Creek,Medical Offices,New Construction,,43.21621,-79.75802,16-106814-01 C9
2016-12,1662 Upper James Street,,Hamilton,Medical Offices,Alteration,,43.20094,-79.89477,16-126816-01 C9
2016-12,230 James Street South,,Hamilton,Medical Offices,Alteration,85000,43.24965,-79.87239,16-129439-00 C9
2016-12,133 King Street West,,Dundas,Medical Offices,Alteration,120000,43.26702,-79.95953,16-131524-00 C3
2016-11,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,13900000,43.25461,-79.90266,16-120169-00 I3
2016-11,847 Barton Street East,,Hamilton,Medical Offices,Alteration,25000,43.25487,-79.82797,16-126462-00 C3
2016-11,666 Upper James Street,,Hamilton,Medical Offices,Alteration,30000,43.23532,-79.87918,16-127591-00 C9
2016-11,1508 Upper James Street,,Hamilton,Medical Offices,Alteration,41000,43.20608,-79.89215,16-131351-00 C3
2016-10,602 Tradewind Drive,,Ancaster,Laboratory - Industrial,Alteration,28500,43.19022,-80.03087,16-124623-00 I9
2016-10,1662 Upper James Street,,Hamilton,Medical Offices,Alteration,85000,43.20094,-79.89477,16-126816-00 C9
2016-10,230 James Street South,,Hamilton,Dental Offices,Tenant Improve,90000,43.24965,-79.87239,16-126875-00 C9
2016-10,1662 Upper James Street,,Hamilton,Medical Offices,Alteration,37600,43.20094,-79.89477,16-127205-00 C9
2016-10,612 King Street West,,Hamilton,Medical Offices,Addition (NR),550700,43.26223,-79.88683,16-127458-00 C3
2016-09,700 Woodward Avenue,,Hamilton,Laboratory - Industrial,Alteration,1000000,43.25276,-79.77366,16-113958-00 I3
2016-09,49 East Avenue South,,Hamilton,Dental Offices,Alteration,6000,43.25128,-79.85586,16-117959-00 C9
2016-08,700 Woodward Avenue,,Hamilton,Laboratory - Industrial,Addition (NR),1900000,43.25276,-79.77366,16-113600-00 I3
2016-08,1050 Paramount Drive,,Stoney Creek,Medical Offices,Alteration,250000,43.19933,-79.79413,16-115829-00 C3
2016-08,265 James Street North,,Hamilton,Medical Offices,Alteration,10000,43.26332,-79.86634,16-116906-01 C3
2016-07,141 King Street East,,Stoney Creek,Dental Offices,Alteration,450000,43.21778,-79.74764,15-118257-00 C9
2016-07,323 Upper Wentworth Street,,Hamilton,Medical Offices,Alteration,150000,43.24154,-79.85335,16-109438-00 C3
2016-07,1031 Barton Street East,,Hamilton,Dental Offices,Alteration,200000,43.2522,-79.81827,16-110383-00 C3
2016-07,25 Redmond Drive,,Hamilton,Medical Offices,Alteration,5000,43.20589,-79.86474,16-116601-00 C3
2016-07,265 James Street North,,Hamilton,Medical Offices,Alteration,10000,43.26332,-79.86634,16-116906-00 C3
2016-06,9 Lake Avenue South,,Stoney Creek,Medical Offices,New Construction,,43.21621,-79.75802,16-106814-00 C3
2016-06,1015 Golf Links Road,,Ancaster,Medical Offices,Alteration,300000,43.2281,-79.94075,16-107910-00 C3
2016-06,196 George Street,,Hamilton,Dental Offices,Alteration,420725,43.25971,-79.8819,16-108304-00 C9
2016-06,101 Creighton Road,,Dundas,Nursing Homes,Alteration,5000,43.2611,-79.968,16-113498-00 G3
2016-06,277 Stone Church Road East,,Hamilton,Nursing Homes,Alteration,1493,43.20834,-79.87684,16-116603-00 G3
2016-05,788 Upper Ottawa Street,,Hamilton,Dental Offices,Alteration,100000,43.21752,-79.83326,15-128116-00 C9
2016-04,118 George Street,,Hamilton,Medical Offices,Alteration,15000,43.25856,-79.87882,16-108837-00 C9
2016-03,16 McMurray Street,,Dundas,Medical Offices,Alteration,,43.26607,-79.95883,13-118254-00 C9
2016-03,100 Dundas Street East,,Flamborough,Medical Offices,Alteration,55000,43.31745,-79.90897,15-123657-01 C3
2016-03,56 Governor's Road,,Dundas,Nursing Homes,Alteration,20000,43.26185,-79.95782,16-100166-00 G3
2016-03,849 Upper Wentworth Street,,Hamilton,Medical Offices,Addition (NR),25000,43.22185,-79.86106,16-104043-00 C3
2016-03,510 Concession Street,,Hamilton,Medical Offices,Alteration,35000,43.24139,-79.85453,16-105959-00 C3
2016-02,100 Dundas Street East,,Flamborough,Medical Offices,Alteration,55000,43.31745,-79.90897,15-123657-00 C3
