period,address,unit,area,building_type,work_type,value,lat,lng,permit_no
2026-05,29 Harriet Street,,Hamilton,Office Building / Doctor's Office / Bank,Demolition,,43.26393,-79.8745,26-101036 (1)
2026-04,35 Stone Church Road,,Ancaster,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,500000,43.22749,-79.93604,26-100823
2026-04,210 Mohawk Road East,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,200000,43.22561,-79.87151,26-100775
2026-04,247 Centennial Parkway North,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,35000,43.23776,-79.76137,26-100679
2026-04,1047 King Street West,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,30000,43.26126,-79.90689,26-100828
2026-04,395 Lewis Road,,Stoney Creek,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,100000,43.22065,-79.65699,25-104626-01
2026-04,1558 King Street East,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,10000,43.23611,-79.81879,26-100198
2026-04,29 Harriet Street,,Hamilton,Office Building / Doctor's Office / Bank,Demolition,,43.26393,-79.8745,26-101036
2026-04,610 Beach Road,,Hamilton,Office Building / Doctor's Office / Bank,Protective Plumbing Improvements,5000,43.25556,-79.79872,26-100784
2026-03,183 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,25000,43.25601,-79.9011,26-100614 I3
2026-03,20 Myler Street,,Hamilton,Laboratory - Industrial,Alteration,250000,43.25948,-79.84143,25-104624 I3
2026-03,56 Governor's Road,,Dundas,Nursing Homes,Alteration,2000,43.26185,-79.95782,26-100297 G3
2026-02,414 Victoria Avenue North,,Hamilton,Medical Offices,Alteration,150000,43.26528,-79.85048,25-104616 C3
2026-02,1390 Burlington Street East,,Hamilton,Laboratory - Commercial,Alteration,150000,43.25844,-79.80703,26-100212 C3
2026-02,1390 Burlington Street East,,Hamilton,Laboratory - Commercial,Addition (NR),14000000,43.25844,-79.80703,26-100147 I3
2026-01,270 Longwood Road South,,Hamilton,Laboratory - Commercial,Alteration,40000,43.25461,-79.90266,25-104027 I3
2025-12,1040 Garner Road West,,Ancaster,Laboratory - Commercial,Alteration,120000,43.1956,-80.01418,25-104410 C3
2025-12,184 Highway No. 8,,Stoney Creek,Medical Offices,Alteration,250000,43.22224,-79.74168,25-103458 C3
2025-12,1390 Burlington Street East,,Hamilton,Laboratory - Commercial,Alteration,100000,43.25844,-79.80703,25-104404 C3
2025-12,34 King Street East,,Stoney Creek,Dental Offices,Alteration,100000,43.2165,-79.75675,25-104460 C9
