issue_date,year,month_number,permit_date,job_category,address,legal_description,neighbourhood,neighbourhood_numberr,job_description,building_type,work_type,floor_area,construction_value,zoning,units_added,latitude,longitude,location,count,house_number
2018-02-16T00:00:00.000,2018,2,2018-02-16T00:00:00.000,Commercial Final,"420, 1 - WESTMOUNT SHOPPING CENTRE NW",Plan 5079HW Blk 20,WOODCROFT,3450,"To construct interior and exterior alterations to an existing Dental office,   expand into adjacent cru and install 2 new exterior windows and 1 new exterior door, rear elevation.",Retail and Shops (510),(03) Exterior Alterations,1274,60000,MU,0,53.561286004078795,-113.55356990068994,,1,
2018-02-16T00:00:00.000,2018,2,2018-02-16T00:00:00.000,Commercial Final,"201, 11051 - 97 STREET NW",Plan RN83 Blk 38 Lots 12-13,MCCAULEY,1140,"To change the use from Veterinary Services to Professional, Financial, and Office Support Services and construct interior and exterior alterations.",Office Buildings (520),(03) Exterior Alterations,5081,200000,MU,0,53.558644729488826,-113.49152755624762,,1,
2018-02-14T00:00:00.000,2018,2,2018-02-14T00:00:00.000,Commercial Final,19918 - LESSARD ROAD NW,Plan 1421209 Blk 3 Lot 2,THE HAMPTONS,4461,To construct an interior alteration for an optometrist clinic (Eye 9 Optometry) (BUILDING 4),Office Buildings (520),(03) Interior Alterations,1916,100000,CG,0,53.47808868002961,-113.67347449140809,,1,
2018-02-13T00:00:00.000,2018,2,2018-02-13T00:00:00.000,Commercial Final,10611 - 101 STREET NW,"Plan 2633AI Lots C,D",MCCAULEY,1140,To construct interior alterations to an existing pharmacy floor space.  Mint Health & Drugs.,Retail and Shops (510),(03) Interior Alterations,1549,40000,MU,0,53.55022699060349,-113.49332806355999,,1,
2018-02-13T00:00:00.000,2018,2,2018-02-13T00:00:00.000,Commercial Final,"446, 6650 - 177 STREET NW",Plan 8521170 Blk 10 Lot 4,CALLINGWOOD SOUTH,4080,To Construct interior/exterior alterations in an existing health clinic floor space (new layout and new store front door)  Callingwood Denture Clinic,Office Buildings (520),(03) Interior Alterations,726.56,90000,DC2,0,53.501518987757606,-113.6289445881858,,1,
2018-02-12T00:00:00.000,2018,2,2018-02-12T00:00:00.000,Commercial Final,2408 - RABBIT HILL ROAD NW,Plan 9823652 Blk 154 Lot 3,LEGER,5630,To construct interior alterations in a business and personal services building (two suites being developed for the same tenant) - Infinity Dental Clinic and Infinity Medi Spa,Office Buildings (520),(03) Interior Alterations,5000,75000,CG,0,53.45566417130048,-113.56677855092524,,1,
2018-02-07T00:00:00.000,2018,2,2018-02-07T00:00:00.000,Commercial Final,1100 - YOUVILLE DRIVE WEST NW,Plan 8220154 Blk 4 Lot 1,TAWA,6720,To construct exterior/interior alterations for demo/removal of existing compactor to be replaced with two new compactors and compactor area interior portion renovation to an Extended Medical Treatment Facility (Grey Nuns Hospital).,Hospitals (640),(03) Exterior Alterations,800,224000,UF,0,53.46207164132757,-113.42954068805554,,1,
2018-02-06T00:00:00.000,2018,2,2018-02-06T00:00:00.000,Commercial Final,"104, 4222 - GATEWAY BOULEVARD NW",Plan 9422309 Blk 5 Lot 4,CALGARY TRAIL SOUTH,5120,To Construct interior alterations to a health services space. Proactive Physiotherapy & Sports Injury Clinic,Office Buildings (520),(03) Interior Alterations,,68000,CG,0,53.478740780796606,-113.4937153065692,,1,
2018-02-02T00:00:00.000,2018,2,2018-02-02T00:00:00.000,Commercial Final,"146, 3210 - 118 AVENUE NW",Plan 8820078 Blk 12 Lot 3,ABBOTTSFIELD,2010,To change the Use from a General Retail Store to a General Retail Store (pharmacy).,Retail and Shops (510),(03) Interior Alterations,3347.58,375000,"RA8, CSC, MU",0,,,,1,
2018-01-31T00:00:00.000,2018,1,2018-01-31T00:00:00.000,Commercial Final,11051 - 95 STREET NW,Plan 3169ET Lots 3-5,MCCAULEY,1140,To construct interior alterations for a pharmacy and clinic fit up on the main floor of a shell health service and retail use building.,Office Buildings (520),(03) Interior Alterations,,491000,MU,0,53.55954290809028,-113.48631560947719,,1,
2018-01-29T00:00:00.000,2018,1,2018-01-29T00:00:00.000,Commercial Final,"201, 6040 - ANDREWS WAY SW",Plan 1524442 Blk 20 Lot 89,AMBLESIDE,5505,"To construct interior alterations to a Health Services Use building at the 2nd floor, ( WINDERMERE GATE MEDICAL BUILDING). Physiologix",Office Buildings (520),(03) Interior Alterations,,400000,DC1,0,53.4302324470528,-113.59237022945297,,1,
2018-01-25T00:00:00.000,2018,1,2018-01-25T00:00:00.000,Commercial Final,"106, 10665 - JASPER AVENUE NW",Plan 8620900 Blk 6 Lot 60B,DOWNTOWN,1090,To construct interior alterations to a Dental Clinic for tenant improvements. Uptown Dental Center,Office Buildings (520),(03) Interior Alterations,4036.46,250000,"JAMSC, CMU",0,53.54056798760067,-113.50408539635224,,1,
2018-01-24T00:00:00.000,2018,1,2018-01-24T00:00:00.000,Commercial Final,"103, 5621 - RIVERBEND ROAD NW",Plan 5452RS Blk 28 Lot 12,BRANDER GARDENS,5080,"To change the use from a bar/pub to health service (Group A2 to D, massage & physio therapy) and to construct interior alterations to an existing commercial building - Body Restoration.",Office Buildings (520),(03) Interior Alterations,2200,120000,CN,0,53.49454544822378,-113.57721858597857,,1,
2018-01-23T00:00:00.000,2018,1,2018-01-23T00:00:00.000,Commercial Final,16635 - 50 STREET NW,Plan 0729391 Blk 25 Lot 1,BRINTNELL,2110,To change the Use from Health Service to a Veterinary Service and construct interior alterations.,Animal and Plant Services (410),(03) Interior Alterations,2200,289000,CG,0,53.627621304730575,-113.40994884658876,,1,
