city_file_number,permit_type,permit_class,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,bia,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,permit_date
652902706-002,Major Development Permit,Not Available,Other,To change the use from Office to a 155 m2 Indoor Sales and Service (expansion of massage therapy clinic into a portion of an adjacent commercial bay) and to construct interior alterations,12040 - FORT ROAD NW,Plan RN63 Blk 4 Lots 43-46,1100,EASTWOOD,Métis Ward,,3,53.574779060007444,-113.46057482342934,,"{'type': 'Point', 'coordinates': [-113.46057482342934, 53.574779060007444]}",Redeveloping,CN,
527321584-002,Major Development Permit,No Development Permit Required,Other,To construct interior alterations to a Health Service building (BOREAL DENTAL CLINIC).,15350 - 18 STREET NW,Plan 2322123 Blk 1 Lot 1,2311,GORMAN,Dene Ward,,3,53.616850956422425,-113.36978449889784,,"{'type': 'Point', 'coordinates': [-113.36978449889784, 53.616850956422425]}",Developing,CN,
467295006-002,Major Development Permit,Not Available,Other,To change the use from General Retail Store to Health Service (physiotherapy clinic) and to construct interior alterations,136 - CHARLESWORTH DRIVE SW,Plan 1922728 Blk 11 Lot 204,6661,CHARLESWORTH,Karhiio Ward,,3,53.43081378006354,-113.39459564396623,,"{'type': 'Point', 'coordinates': [-113.39459564396623, 53.43081378006354]}",Developing,CN,
521168936-002,Major Development Permit,Not Available,Other,To continue to operate a Health Service and to construct interior alterations (expansion of existing Daramola Medical Clinic into Suite 105),"105, 6055 - ANDREWS WAY SW","Condo Common Area (Plan 1920337,1922220)",5505,AMBLESIDE,pihêsiwin Ward,,3,53.429525597148,-113.59129092390121,,"{'type': 'Point', 'coordinates': [-113.59129092390121, 53.429525597148]}",Developing,DC1,
146457216-002,Sign Permit,Not Available,Other,To replace (2) panels on an existing Freestanding Sign (Insight Medical Meadowlark),"200, 1 - MEADOWLARK PARK SHOPPING CENTRE NW",Plan 9924575 Blk 10 Lot 2,4310,MEADOWLARK PARK,Ward 1,,3,53.52094316533514,-113.5933701832428,,"{'type': 'Point', 'coordinates': [-113.5933701832428, 53.52094316533514]}",,CSC,
362886275-001,Sign Permit,Permitted Development,Other,To install (2) Fascia On-premises Signs (DUNLUCE (CEDAR) PHYSIO - MASSAGE).,12112 - 161 AVENUE NW,Plan 7820085 Blk 56 Lot 62,3180,DUNLUCE,Anirniq Ward,,3,53.62239230029624,-113.5341597521949,,"{'type': 'Point', 'coordinates': [-113.5341597521949, 53.62239230029624]}",,DC2,
659968532-002,Sign Permit,Not Available,Other,To install a Fascia Sign limited to On-premises Advertising (THE AUDIOLOGY CLINIC).,"208, 6830 - ELLERSLIE ROAD SW",Plan 2320638 Blk 1 Lot 11,6211,ELLERSLIE,Karhiio Ward,,3,53.42576568131494,-113.44615570343235,,"{'type': 'Point', 'coordinates': [-113.44615570343235, 53.42576568131494]}",,,
441121817-002,Major Development Permit,Not Available,Other,To construct exterior and interior alterations to an Extended Medical Treatment Service building (HVAC improvements),11111 - JASPER AVENUE NW,Plan NB Blk 11 Lots 31-56,1151,WÎHKWÊNTÔWIN,O-day'min Ward,,3,53.539894612786554,-113.51302977936083,,"{'type': 'Point', 'coordinates': [-113.51302977936083, 53.539894612786554]}",Redeveloping,UF,
573293109-002,Major Development Permit,Not Available,Other,To Change the Use from Cannabis Retail Service to a Health Service and Indoor Sales and Service (Medical Clinic and Pharmacy),15210 - STONY PLAIN ROAD NW,Plan 2429MC Blk 40 Lot 5,4090,CANORA,Nakota Isga Ward,Stony Plain Road and Area,3,53.54157997350694,-113.58379603328588,,"{'type': 'Point', 'coordinates': [-113.58379603328588, 53.54157997350694]}",Redeveloping,MU,
659672388-002,Sign Permit,Not Available,In Progress,"To install a Fascia Sign limited to On-premises Advertising, a Projecting Sign in the form of a Roof Sign limited to On-premises Advertising, and a Freestanding Sign limited to On-premises Advertising (ORCHARD DENTAL CLINIC).",150 - SUMMERSIDE GATE SW,Plan 0628060 Blk 1 Lot 39,6213,SUMMERSIDE,Karhiio Ward,,3,53.419328901539906,-113.47683779891084,,"{'type': 'Point', 'coordinates': [-113.47683779891084, 53.419328901539906]}",,EIB,
257500815-002,Sign Permit,Not Available,Other,To develop a Comprehensive Sign Design Plan for UNITED HEALTH CENTRE.,7603 - 109 STREET NW,Plan 1720082 Unit 125,5330,QUEEN ALEXANDRA,Ward 08,,4,53.512616035,-113.511508608,,"{'type': 'Point', 'coordinates': [-113.511508608, 53.512616035]}",,,
289651853-001,Sign Permit,Discretionary Development,In Progress,To install a Fascia On-premises Sign and a Freestanding On-premises Sign (Glenora Chiropractic and Physiotherapy).,11115 - GROAT ROAD NW,Plan 9120436 Blk 28 Lot 18A,3240,INGLEWOOD,Anirniq Ward,The Crossroads,3,53.55929616854385,-113.55078316898553,,"{'type': 'Point', 'coordinates': [-113.55078316898553, 53.55929616854385]}",,RA7,
627295444-002,Major Development Permit,Not Available,Other,To Change the Use from an Indoor Sales and Service to a Health Service (Sleep Apnea Clinic),1249 - ASTER BOULEVARD NW,Plan 2022819 Blk 9 Lot 1,6445,ASTER,Sspomitapi Ward,,3,53.450060976480785,-113.36725025523381,,"{'type': 'Point', 'coordinates': [-113.36725025523381, 53.450060976480785]}",Developing,CN,
354937984-002,Major Development Permit,Not Available,Other,To Change the Use from a General Retail Store to a Health Services Use (RABBIT HILL DENTAL),5005 - MULLEN ROAD NW,Plan 1823035 Blk 20 Lot 18,5477,MACTAGGART,pihêsiwin Ward,,3,53.433903696196936,-113.5747902133551,,"{'type': 'Point', 'coordinates': [-113.5747902133551, 53.433903696196936]}",Developing,CG,
519310027-002,Major Development Permit,Not Available,Other,To change the use from Specialty Food Service to Health Service and Indoor Sales and Service (medical clinic and pharmacy) and to construct interior alterations,3349 - 118 AVENUE NW,Plan 7722129 Blk 1 Lot 7,2660,RUNDLE HEIGHTS,Métis Ward,Beverly,3,53.569901167774134,-113.39246085073273,,"{'type': 'Point', 'coordinates': [-113.39246085073273, 53.569901167774134]}",Redeveloping,MU,
416452997-002,Major Development Permit,Not Available,Other,To construct interior alterations to a Health Service (dental office).,719 - DANIELS WAY SW,Plan 2121567 Blk 18 Lot 4,5463,DESROCHERS AREA,Ipiihkoohkanipiaohtsi Ward,,3,53.40074388738519,-113.54231887415861,,"{'type': 'Point', 'coordinates': [-113.54231887415861, 53.40074388738519]}",Developing,MU,
462268337-002,Major Development Permit,Not Available,Other,To continue to operate a General Retail Store (pharmacy) and to construct interior alterations,11252 - 109 AVENUE NW,Plan 2109HW Blk 11A Lots 1-3,1180,QUEEN MARY PARK,O-day'min Ward,,3,53.55495328114607,-113.51544436464087,,"{'type': 'Point', 'coordinates': [-113.51544436464087, 53.55495328114607]}",Redeveloping,DC2,
639246350-002,Major Development Permit,Not Available,Other,To Operate an Indoor Sales and Service with Accessory Health Service (Compounding Pharmacy) (No Development Permit Required),4628 - 99 STREET NW,Plan 9924302 Blk 1 Lot 10,6560,PAPASCHASE INDUSTRIAL,Karhiio Ward,,3,53.48464471339911,-113.4871785370283,,"{'type': 'Point', 'coordinates': [-113.4871785370283, 53.48464471339911]}",Industrial,BE,
429182128-002,Major Development Permit,Discretionary Development,Other,To construct an addition to a Health Service (dental clinic).,9720 - 110 STREET NW,Plan NB Blk 10 Lot 83,1151,WÎHKWÊNTÔWIN,O-day'min Ward,,3,53.53466525362401,-113.51080229131824,,"{'type': 'Point', 'coordinates': [-113.51080229131824, 53.53466525362401]}",Redeveloping,RL,
639162656-002,Major Development Permit,Not Available,Other,To Change the Use from a Minor Indoor Entertainment Use to a Health Service Use (Medical Clinic) (No Development Permit Required),8234 - 175 STREET NW,Plan 7620073 Blk 12 Lot 1B,4560,THORNCLIFF,sipiwiyiniwak Ward,,3,53.51560093633077,-113.62444678438527,,"{'type': 'Point', 'coordinates': [-113.62444678438527, 53.51560093633077]}",Redeveloping,MU,
