Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Occupancy_Type,Existing_Residential_Units,Total_End_Residential_Units,Building_Footprint_Area,Number_of_Storeys,Work_Description,Active_Parcel,Date_Inspection_Completed,District,Inspection_Outcome,Overall_Building_Height,Net_New_Units,OBJECTID
BPCOM-2025-09349,6/19/2025 12:00:00 PM,7/2/2025 12:00:00 PM,11/7/2025 12:00:00 PM,7/2/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,172040,168,HOBSONS LAKE DR,BEECHVILLE,41357849,600000,Building - Commercial - Final,Commercial,Clinic,,,6966,1,Fit-Up of a room on the ground floor in the existing Coastal Care Veterinary Emergency Hospital for a new Siemens MRI machine.,Y,2025-11-07 12:00:00,District 12,Passed,12.5,0,5131
BPCOM-2025-10200,7/2/2025 12:00:00 PM,7/16/2025 12:00:00 PM,,7/16/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,115701,4,FOREST HILLS PKY,COLE HARBOUR,00633180,900000,Building - Commercial - Final,Commercial,Service Use,,,7620,1,"This application is for the interior fit up for a new Veterinary Clinic.  Work includes partitions, finishes, mechanical distribution, plumbing, and electrical.

Units 1103A1 and 1103A2 adjacent to the existing Shoppers Drug Mart.",Y,2025-12-16 12:00:00,District 04,Cancelled,5.4,0,5137
BPCOM-2025-12513,8/11/2025 12:00:00 PM,9/18/2025 12:00:00 PM,3/20/2026 12:00:00 PM,9/18/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,47005,1239,BEDFORD HWY,BEDFORD,00429159,550000,Building - Commercial - Final,Commercial,Clinic,,,734,1,"This is the renovation of an existing space to join three existing tenant spaces into one for a new Physiotherapy office.

Maximum occupant load of 50 persons.",Y,2026-03-20 12:00:00,District 16,Passed,4.57,0,5152
BPCOM-2026-03390,4/1/2026 12:00:00 PM,5/1/2026 12:00:00 PM,,5/1/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,192214,7703,HIGHWAY 7,MUSQUODOBOIT HARBOUR,41556150,897000,,Commercial,Clinic,,,840,1,"Scope of Work; Interior Fit-up of Existing Building Permit (BPCOM-2025-14535) for future Medical Office (Group D) for 'Nova Scotia Health Authority.' 

Maximum Occupant Reviewed as 80 Persons.",Y,,District 02,,5.1,0,5247
BPCOM-2026-03702,5/4/2026 12:00:00 PM,5/28/2026 12:00:00 PM,,5/28/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,78050,5981,UNIVERSITY AVE,HALIFAX,00055962,2921530,,Institutional and Governmental,Post-Secondary Institution,,,7246,4,"Renovation of a university laboratory space, including full demolition of the space on level 3, installation of new stainless steel laboratory casework, application of epoxy finishes, addition of new fume hoods with exhaust fans, and the placement of a new roof mounted air handling unit. Structural steel is to be added to the roof framing to support the new AHU and there will he an hvac chase from level 3 to the room. Sanitary plumbing will be ran in the ceiling space of level 2 for the level 3 sinks and floor drains.


3rd Floor",Y,,District 07,,17,0,5248
BPCOM-2026-09454,7/16/2026 12:00:00 PM,8/10/2026 12:00:00 PM,,8/10/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,4886,950,BEDFORD HWY,BEDFORD,40628893,500000,,Commercial,Office,,,2996,2,Interior renovations and the addition of space for existing 'Hammond Dental Centre',Y,,District 16,,7,0,5295
BPRES-2022-02748,3/3/2022 12:00:00 PM,6/21/2022 12:00:00 PM,4/4/2023 12:00:00 PM,6/21/2024 12:00:00 PM,Residential Building Permit,Addition,Addition,Completed,8498,5798,ST MARGARETS BAY RD,HEAD OF ST MARGARETS BAY,40328171,350000,Building - Plumbing - Prior to Occupancy,Dwelling - Single Detached,Residential Use,1,1,104.72,2,Add to Single-Unit Dwelling: Create Attached Garage with Portion for Clinic,Y,2023-04-04 12:00:00,District 13,Passed,7.89,0,5695
BP-2020-00114,12/16/2020 12:00:00 PM,3/11/2021 12:00:00 PM,1/14/2022 12:00:00 PM,3/11/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Addition,Addition,Completed,76419,6247,JUBILEE RD,HALIFAX,00157586,350000,Building - Commercial - Final,Mixed Use - Residential & Other Use(s),Service Use,1,1,153,2,"Addition to main level commercial and second floor residential suite. Renovate existing commercial offices for osteopathic, massage, physiotherapy health services. Additions are under an existing Development Agreement",Y,2022-01-14 12:00:00,District 09,Passed,6.52,0,8079
BP-2021-00981,1/21/2021 12:00:00 PM,3/16/2021 12:00:00 PM,3/21/2023 12:00:00 PM,2/25/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired (Closed),68907,6155,NORTH ST,HALIFAX,40335937,229715,Building - Plumbing - Prior to Occupancy,Commercial,Clinic,,,3916,4,"Interior office renovations:
New T-bar ceiling, new flooring, new paint, relocated walls, new public washroom.",Y,2021-05-12 12:00:00,District 08,Passed,14.6,0,8205
BP-2021-01386,1/27/2021 12:00:00 PM,3/5/2021 12:00:00 PM,5/28/2021 12:00:00 PM,3/5/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,58226,842,PORTLAND ST,DARTMOUTH,41044793,215000,Building - Commercial - Final,Commercial,Clinic,,,1427,2,Leasehold improvement to create 'PROTx Services' physio clinic,Y,2021-05-28 12:00:00,District 03,Passed,10,0,8235
BP-2021-02116,2/18/2021 12:00:00 PM,3/18/2021 12:00:00 PM,2/9/2022 12:00:00 PM,3/18/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,45592,36,DUKE ST,BEDFORD,41379231,180000,Building - Plumbing - Prior to Occupancy,Commercial,Clinic,,,4600,2,"Renovation of existing 'ProEdge Elite Training' sports facility
Create new locker rooms and office space within the existing space",Y,2022-02-09 12:00:00,District 16,Passed,30,0,8299
BP-2021-03360,3/25/2021 12:00:00 PM,4/26/2021 12:00:00 PM,9/29/2021 12:00:00 PM,4/26/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Addition,Addition,Completed,45260,190,COBEQUID RD,LOWER SACKVILLE,00361824,182000,Building - Plumbing - Commercial - Rough In,Commercial,Clinic,,,111,1,Renovate building to create 'Sackville Smile Center' dental clinic,Y,2021-09-29 12:00:00,District 15,Passed,5.1,0,8403
BP-2021-03957,3/12/2021 12:00:00 PM,5/5/2021 12:00:00 PM,7/13/2021 12:00:00 PM,5/5/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,45825,1739,BEDFORD HWY,BEDFORD,40116220,341197,Building - Commercial - Final,Commercial,Office,,,371,1,Fit-up for new leasehold 'Basinview Cat Clinic'. Entire building. (Basebuilding under permit 180314).,Y,2021-07-13 12:00:00,District 16,Passed,6,0,8461
BP-2021-06251,4/19/2021 12:00:00 PM,6/15/2021 12:00:00 PM,6/1/2022 12:00:00 PM,6/15/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,7553,600,BEDFORD HWY,HALIFAX,00289561,58000,Building - Plumbing - Prior to Occupancy,Commercial,Service Use,,,1500,2,Renovate Ground Level commercial space new lease hold (Bedford Skin Clinic),Y,2022-06-01 12:00:00,District 16,Passed,9,0,8662
BP-2021-07170,4/23/2021 12:00:00 PM,6/7/2021 12:00:00 PM,2/8/2022 12:00:00 PM,6/7/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,170933,325,WASHMILL LAKE DR,HALIFAX,41472309,150000,Building - Commercial - Final,Commercial,Clinic,,,1230,1,"Interior Fit Up   
Hand & Stone Massage and Facial Spa",Y,2022-02-08 12:00:00,District 12,Passed,5,0,8745
BPCOM-2021-12241,7/26/2021 12:00:00 PM,9/1/2021 12:00:00 PM,1/20/2022 12:00:00 PM,9/1/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,138896,90,HECTOR GATE,DARTMOUTH,41244179,185000,Building - Commercial - Final,Commercial,Clinic,,,3700,2,"We are applying to do some interior renovating to a previous retail space. The proposed work is for Ocean Optometry and will include adding some exam rooms for eye exams, service desk, adding a sink to each one of the exam rooms, a seating area for clients, eyeglass lens displays, and small kitchenette in the rear of the space. This will all include some interior electrical work within the space, tying into existing plumbing, cosmetic floor and wall work, and no structural work to existing walls, roof, or floor is anticipated.",Y,2022-01-20 12:00:00,District 06,Passed,7,0,8912
BPCOM-2021-12525,7/6/2021 12:00:00 PM,9/20/2021 12:00:00 PM,,9/20/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,77602,5850,COLLEGE ST,HALIFAX,00055962,1196740,Building - Commercial - Final,Institutional and Governmental,Laboratory / Research Use,,,500,3,"Renovations to Morgue and Central Stores, Tupper Medical Building, Dalhousie University",Y,2022-03-25 12:00:00,District 07,Partially Passed,30,0,8918
BPCOM-2021-20218,12/22/2021 12:00:00 PM,3/16/2022 12:00:00 PM,10/26/2023 12:00:00 PM,3/16/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Addition,Addition,Completed,85655,26,COW BAY RD,EASTERN PASSAGE,40882474,650000,Building - Commercial - Final,Commercial,Clinic,,,365,2,This commercial project consists of an addition and renovation of an animal hospital. The addition will be two storeys and has an approximate total square footage of 2350 SF. The renovation consists of minor changes to the current layout.,Y,2022-12-15 12:00:00,District 03,Passed,10.67,0,9135
BPCOM-2022-04244,3/30/2022 12:00:00 PM,5/17/2022 12:00:00 PM,,12/12/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,43079,579,SACKVILLE DR,LOWER SACKVILLE,40003618,310000,Building - Commercial - Prior to Drywall,Commercial,Clinic,,,139.4,1,Renovations of existing two unit commercial office building,Y,2022-11-02 12:00:00,District 15,Passed,6,0,9218
BPCOM-2022-04695,4/7/2022 12:00:00 PM,5/10/2022 12:00:00 PM,8/27/2025 12:00:00 PM,3/31/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,7089,3650,HAMMONDS PLAINS RD,UPPER TANTALLON,40665531,500000,Building - Commercial - Final,Commercial,Clinic,,,4500,1,Renovation of an existing commercial strip mall to create a new office for a dental occupancy.,Y,2025-08-12 12:00:00,District 13,Passed,4,0,9226
BPCOM-2022-05329,5/30/2022 12:00:00 PM,7/29/2022 12:00:00 PM,,7/29/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,74912,1496,LOWER WATER ST,HALIFAX,00003723,1400000,Building - Discretionary,Commercial,Laboratory / Research Use,,,907,3,"Renovations to create offices, update to electrical system and change lights to LED.  Detailed list of work in File Notes.  Suite MP-1114",Y,2024-01-12 12:00:00,District 07,Passed,9.5,0,9236
BPCOM-2022-07689,6/2/2022 12:00:00 PM,7/25/2022 12:00:00 PM,1/18/2023 12:00:00 PM,7/25/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,175339,6490,CHEBUCTO RD,HALIFAX,00021006,78000,Building - Commercial - Final,Commercial,Clinic,,,1672,5,Interior renovation to create veterinary clinic within existing building.,Y,2023-01-18 12:00:00,District 09,Passed,15,0,9273
BPCOM-2022-08598,6/15/2022 12:00:00 PM,6/29/2022 12:00:00 PM,2/28/2023 12:00:00 PM,6/29/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,46343,1595,BEDFORD HWY,BEDFORD,00429209,400000,Building - Plumbing - Underground,Commercial,Clinic,,,2400,1,"Scope of work is limited to:
Renovation of Sunny Side Mall to create a Group D - Office for 'Bedford Periodontics'.

Sunnyside Mall, Office Tower, 5th floor, Suite #504",Y,2023-02-28 12:00:00,District 16,Waived,8.67,0,9284
BPCOM-2022-10404,7/26/2022 12:00:00 PM,8/9/2022 12:00:00 PM,11/3/2022 12:00:00 PM,8/9/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,137646,320,WRIGHT AVE,DARTMOUTH,41177478,50000,Building - Commercial - Final,Commercial,Laboratory / Research Use,,,1465,1,"A 425 sq.ft room will be renovated:
- removal of existing carpet, application of epoxy flooring
- removal of existing ceiling tile, installation of a cleanable ceiling tile
- apply epoxy paint to walls
- modify existing HVAC to restrict recirculated air
- install additional electrical outlets and panel board",Y,2022-11-03 12:00:00,District 06,Passed,3,0,9322
BPCOM-2023-00654,1/20/2023 12:00:00 PM,5/26/2023 12:00:00 PM,3/21/2024 12:00:00 PM,5/26/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,60399,190,PORTLAND ST,DARTMOUTH,00114405,125000,Building - Commercial - Final,Mixed Use - Residential & Other Use(s),Retail Use,42,42,710,8,Interior fit up of a new construction base building space to accommodate a retail pharmacy.,Y,2024-03-07 12:00:00,District 05,Passed,20,0,9440
BPCOM-2023-01737,2/21/2023 12:00:00 PM,3/24/2023 12:00:00 PM,7/11/2023 12:00:00 PM,3/24/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,23815,383,HERRING COVE RD,HALIFAX,00333070,15000,Building - Commercial - Final,Commercial,Clinic,,,283.63,7,Renovation for New Leasehold,Y,2023-07-11 12:00:00,District 11,Passed,20.73,0,9469
BPCOM-2023-02329,3/9/2023 12:00:00 PM,3/16/2023 12:00:00 PM,12/5/2023 12:00:00 PM,3/16/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,172040,168,HOBSONS LAKE DR,BEECHVILLE,41357849,1200000,Building - Commercial - Final,Commercial,Clinic,,,3168,1,"Scope of work is limited to:
Renovation of an existing 3 storey commercial building to create new Group D (office) major occupancy which is located on the 1st storey.
Business name is 'Canadian Plasma Resources'

Note: refer to construction permit BP-2020-00408 for information and plans pertaining to the base building permit, base building Occupancy permit BP-2020-00408 was issued May 2022.",Y,2023-12-05 12:00:00,District 12,Passed,12.85,0,9479
BPCOM-2023-02772,3/15/2023 12:00:00 PM,3/24/2023 12:00:00 PM,6/6/2023 12:00:00 PM,3/24/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,16344,362,LACEWOOD DR,HALIFAX,40884090,80000,Building - Commercial - Final,Commercial,Clinic,,,2174,2,"Renovate approximately 1160 square feet of existing space. Rearrange rooms, create barrier free washroom, install 2 additional sinks. New leasehold - Clayton Park Audiology

Unit 5",Y,2023-06-06 12:00:00,District 12,Passed,10,0,9485
BPCOM-2023-03408,4/4/2023 12:00:00 PM,6/23/2023 12:00:00 PM,1/30/2024 12:00:00 PM,6/23/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Addition,Addition,Completed,47469,5,ISNOR DR,DARTMOUTH,40255929,121500,Building - Commercial - Final,Commercial,Laboratory / Research Use,,,697,2,"Add to Industrial Building: 

Rear 1 storey bump out being added to existing industrial building.",Y,2024-01-24 12:00:00,District 06,Passed,7.5,0,9498
BPCOM-2023-03726,4/13/2023 12:00:00 PM,5/5/2023 12:00:00 PM,2/12/2024 12:00:00 PM,5/5/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,69309,2131,GOTTINGEN ST,HALIFAX,40623886,500000,Development - Development Agreement,Commercial,Office,,,1115,5,"Renovation of the 1st and 5th floors to reconfigure our space

North End Community Health Centre",Y,2024-02-12 12:00:00,District 08,Waived,15,0,9509
BPCOM-2023-03836,4/4/2023 12:00:00 PM,4/11/2023 12:00:00 PM,,4/11/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,66195,6025,ALMON ST,HALIFAX,00331884,98000,Building - Plumbing - Underground,Commercial,Retail Use,,,1448,1,"Scope of work is limited to:
Internal Renovations to add a Consultation room in the Pharmacy Area",Y,2023-04-25 12:00:00,District 08,Passed,5.5,0,9512
BPCOM-2023-04838,4/25/2023 12:00:00 PM,6/7/2023 12:00:00 PM,5/16/2024 12:00:00 PM,6/7/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,49028,39,MICMAC BLVD,DARTMOUTH,40173676,2244000,Development - Development Agreement,Commercial,Office,,,4645,1,"Scope of work is limited to:
Renovation of an existing commercial building, to create a Group D major occupancy within a commercial suite.  The business name is known as 'National Veterinary Associates Inc.'",Y,2024-05-16 12:00:00,District 05,Waived,8,0,9528
BPCOM-2023-05452,5/5/2023 12:00:00 PM,5/11/2023 12:00:00 PM,,5/11/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,130691,1535,DRESDEN ROW,HALIFAX,41260878,300000,Building - Plumbing - Commercial - Rough In,Commercial,Clinic,,,2451,8,"Renovating existing space and expanding into vacant space next door.
Note* I am not sure what the total area of the building footprint is. Please call if you do not have the information.
Existing space is 207sq m plus expansion is 117 sq m.",Y,2023-07-14 12:00:00,District 07,Partially Passed,24,0,9538
BPCOM-2023-06991,6/27/2023 12:00:00 PM,8/22/2023 12:00:00 PM,10/15/2024 12:00:00 PM,8/22/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,172040,168,HOBSONS LAKE DR,BEECHVILLE,41357849,3000000,Building - Commercial - Final,Commercial,Clinic,,,3212,3,"Interior fit-up of a new veterinarian clinic. First floor includes reception space, assessment rooms, treatment areas and surgery rooms. Second floor includes a few additional surgery rooms, boardroom and training rooms as well as offices and staff rooms.",Y,2024-10-15 12:00:00,District 12,Passed,12.5,0,9560
BPCOM-2023-07401,6/9/2023 12:00:00 PM,7/27/2023 12:00:00 PM,1/9/2024 12:00:00 PM,7/27/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,49133,60,HIGHFIELD PARK DR,DARTMOUTH,40430191,212310,Building - Commercial - Final,Commercial,Office,,,1783,2,"Scope of work is limited to:
Renovation of an existing commercial building to create a Group D major occupancy (offices).  Business name is known as 'Nova Scotia Health Authority - Mental Health Clinic'.",Y,2024-01-09 12:00:00,District 05,Passed,9,0,9564
BPCOM-2023-08005,6/21/2023 12:00:00 PM,8/8/2023 12:00:00 PM,2/12/2024 12:00:00 PM,8/8/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,141225,1432,HAMMONDS PLAINS RD,HAMMONDS PLAINS,41351669,85000,Building - Plumbing - Underground,Commercial,Clinic,,,883,1,Leasehold improvement within existing building.  Business name 'Atlantic Chiropractic'.,Y,2024-02-12 12:00:00,District 14,Passed,4.6,0,9576
BPCOM-2023-09995,7/26/2023 12:00:00 PM,8/4/2023 12:00:00 PM,12/6/2023 12:00:00 PM,8/4/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,85881,1515,MAIN RD,EASTERN PASSAGE,40819625,426000,Building - Commercial - Final,Commercial,Clinic,,,453,1,Leasehold Improvements to create new NSHA Medical Clinic.,Y,2023-12-06 12:00:00,District 03,Passed,3,0,9608
BPCOM-2024-00716,3/20/2024 12:00:00 PM,8/1/2024 12:00:00 PM,,8/1/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,47348,961,BEDFORD HWY,BEDFORD,40592297,100000,Building - Commercial - Final,Commercial,Clinic,,,1299.16,1,Renovation to Dental Office.,Y,2025-05-20 12:00:00,District 16,Passed,4,0,9765
BPCOM-2024-02821,3/14/2024 12:00:00 PM,3/25/2024 12:00:00 PM,5/12/2025 12:00:00 PM,3/25/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,49028,39,MICMAC BLVD,DARTMOUTH,40173676,1356900,Building - Commercial - Final,Commercial,Office,,,4645,1,"Scope of work is limited to:
Renovation of an existing commercial building, to create a Group D major occupancy within a commercial suite.  Phase 2 of 'National Veterinary Associates Inc' veterinary hospital (refer to Phase 1 - BPCOM-2023-04838)",Y,2025-05-12 12:00:00,District 05,Passed,7.92,0,9801
BPCOM-2024-04006,4/9/2024 12:00:00 PM,5/3/2024 12:00:00 PM,,5/3/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,46343,1595,BEDFORD HWY,BEDFORD,00429209,66515,,Commercial,Clinic,,,18617,2,Interior Office Space Renovations,Y,,District 16,,6,0,9820
BPCOM-2024-04255,4/12/2024 12:00:00 PM,4/25/2024 12:00:00 PM,12/6/2024 12:00:00 PM,4/25/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,95902,3301,HIGHWAY 2,FALL RIVER,00504837,150000,Building - Commercial - Final,Commercial,Service Use,,,278,2,Renovate dental office,Y,2024-08-13 12:00:00,District 01,Passed,7,0,9821
BPCOM-2024-04706,4/18/2024 12:00:00 PM,5/7/2024 12:00:00 PM,5/9/2024 12:00:00 PM,5/7/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,172469,61,STELLA DR,PORTERS LAKE,40243032,25000,Building - Commercial - Final,Commercial,Clinic,,,929,1,Renovation to create 'daily smiles Dental Hygiene Clinic',Y,2024-05-09 12:00:00,District 02,Passed,7.77,0,9831
BPCOM-2024-05142,4/25/2024 12:00:00 PM,5/28/2024 12:00:00 PM,8/26/2024 12:00:00 PM,5/28/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,73801,6112,QUINPOOL RD,HALIFAX,41471863,100000,Building - Commercial - Final,Mixed Use - Residential & Other Use(s),Retail Use,74,74,2834.84,8,reno for new pharmacy - Mosaic,Y,2024-08-26 12:00:00,District 09,Passed,27.34,0,9839
BPCOM-2024-08736,7/3/2024 12:00:00 PM,7/9/2024 12:00:00 PM,,7/9/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,139561,7,MELLOR AVE,DARTMOUTH,41237132,220000,Building - Commercial - Final,Institutional and Governmental,Clinic,,,3311,2,Nova Scotia Health - Interior Renovations,Y,2025-03-04 12:00:00,District 06,Passed,9,0,9930
BPCOM-2024-08826,7/11/2024 12:00:00 PM,9/9/2024 12:00:00 PM,11/26/2024 12:00:00 PM,9/9/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,127559,397,BEDFORD HWY,HALIFAX,40355927,129000,Building - Commercial - Final,Commercial,Office,,,892,3,"Scope of Work; renovation of existing third floor space to create fit-up for Clinic (Group D) 'Bedford Skin Clinic.'

Maximum Occupant Load reviewed as 10 Persons.

This permit does not permit services, or activities which would require the classification of Care or Treatment (Group B2) within the space; if present, a separate renovation permit, or amendment to the current permit to allow for Treatment procedures is required.",Y,2024-11-26 12:00:00,District 10,Passed,14,0,9932
BPCOM-2024-17122,11/27/2024 12:00:00 PM,7/7/2025 12:00:00 PM,,7/7/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,New Building,New Building,Issued,187339,1075,FALL RIVER RD,FALL RIVER,41541640,62750000,Building - Plumbing - Underground,Institutional and Governmental,Care Use,,,2992,5,144 bed nursing home and associated utilities,Y,2026-07-10 12:00:00,District 01,Passed,21.75,0,10042
BPCOM-2024-17122,11/27/2024 12:00:00 PM,7/7/2025 12:00:00 PM,,7/7/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,New Building,New Building,Issued,187339,1075,FALL RIVER RD,FALL RIVER,41541640,62750000,Building - Plumbing - Underground,Institutional and Governmental,Utility Use,,,2992,5,144 bed nursing home and associated utilities,Y,2026-07-10 12:00:00,District 01,Passed,21.75,0,10043
BPCOM-2024-18958,1/6/2025 12:00:00 PM,3/13/2025 12:00:00 PM,8/30/2025 12:00:00 PM,3/13/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,68114,2269,GOTTINGEN ST,HALIFAX,40682510,450000,Building - Commercial - Final,Commercial,Recreation Use,,,1258,2,"Scope of Work; renovation of existing space within community center (Group A2) to create additional offices and counselling rooms for the 'YMCA.'

No change in Maximum Occupant Load Proposed.

'Clinic Space' is limited to counseling services only; Care, Treatment, or Medical Assistance will constitute a change of Occupancy Classification, and is not permitted under the scope of this permit.",Y,2025-08-30 12:00:00,District 08,Passed,12,0,10074
BPCOM-2025-01934,2/27/2025 12:00:00 PM,3/13/2025 12:00:00 PM,2/3/2026 12:00:00 PM,3/13/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,76815,5991,SPRING GARDEN RD,HALIFAX,00136317,90000,Building - Commercial - Final,Commercial,Clinic,,,3839.3,12,"Scope of work is limited to:
Interior Renovation in Existing Dental Clinic on the second floor, suite 206",Y,2026-02-03 12:00:00,District 07,Passed,36,0,10115
BPCOM-2025-03112,3/10/2025 12:00:00 PM,3/17/2025 12:00:00 PM,10/28/2025 12:00:00 PM,3/17/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,172469,61,STELLA DR,PORTERS LAKE,40243032,300000,Building - Commercial - Prior to Drywall,Commercial,Clinic,,,185.38,1,Group D Medical Office Max OP 50,Y,2025-10-28 12:00:00,District 02,Passed,7.62,0,10143
BPCOM-2025-04738,4/7/2025 12:00:00 PM,4/29/2025 12:00:00 PM,,4/29/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,16669,230,CHAIN LAKE DR,HALIFAX,40619330,550000,Building - Commercial - Final,Commercial,Office,,,10867,1,interior renovation and mezzanine addition of the existing pharmacy department inside the building.,Y,2025-12-17 12:00:00,District 12,Partially Passed,9.34,0,10190
BPCOM-2025-05004,4/15/2025 12:00:00 PM,6/30/2025 12:00:00 PM,,6/30/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,77305,6025,COBURG RD,HALIFAX,00136606,1000000,Building - Commercial - Prior to Drywall,Mixed Use - Residential & Other Use(s),Residential Use,1,1,152.63,3,Renovation of an existing single unit dwelling to create Group D clinic (Luma) & Basement Unit,Y,2026-07-24 12:00:00,District 07,Partially Passed,10.79,0,10193
BPCOM-2025-11197,7/24/2025 12:00:00 PM,8/8/2025 12:00:00 PM,5/19/2026 12:00:00 PM,8/8/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,62685,40,ALDERNEY DR,DARTMOUTH,40513624,4712000,Building - Commercial - Final,Institutional and Governmental,Clinic,,,8693,6,"Scope of Work: renovation of existing floor area to create office spaces (Group D) for Nova Scotia Health.

Maximum Occupant Load reviewed as 238 persons.",Y,2026-05-19 12:00:00,District 05,Passed,21,0,10265
BPCOM-2025-11872,7/29/2025 12:00:00 PM,8/18/2025 12:00:00 PM,12/2/2025 12:00:00 PM,8/18/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,64891,5730,YOUNG ST,HALIFAX,00004226,240000,Building - Commercial - Prior to Drywall,Commercial,Clinic,,,120,3,Converting the second floor of the exiting dental clinic to include 4 additional operatories. Some electrical and mechanical adjustments will be completed.,Y,2025-12-02 12:00:00,District 08,Passed,9,0,10273
BPCOM-2025-14535,10/1/2025 12:00:00 PM,3/10/2026 12:00:00 PM,,3/10/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,New Building,New Building,Issued,192214,7703,HIGHWAY 7,MUSQUODOBOIT HARBOUR,41556150,1925000,Building - Plumbing - Underground,Commercial,Clinic,,,840,1,"Scope of Work; shell building only (White box) for future Medical Office (Group D) for 'Nova Scotia Health Authority.' 

No Occupant Load reviewed; No Occupancy issued.",Y,2026-05-06 12:00:00,District 02,Partially Passed,5.1,0,10317
