Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Occupancy_Type,Existing_Residential_Units,Total_End_Residential_Units,Building_Footprint_Area,Number_of_Storeys,Work_Description,Active_Parcel,Date_Inspection_Completed,District,Inspection_Outcome,Overall_Building_Height,Net_New_Units,OBJECTID
BPCOM-2023-03757,4/4/2023 12:00:00 PM,4/26/2023 12:00:00 PM,,4/26/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,42110,776,SACKVILLE DR,LOWER SACKVILLE,41208133,115000,,Commercial,Retail Use,,,877,1,Internal Renovations to add a Consultation rooms in the Pharmacy Area,Y,,District 15,,5.5,0,2382
BPCOM-2023-11294,8/29/2023 12:00:00 PM,9/15/2023 12:00:00 PM,1/24/2025 12:00:00 PM,9/15/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,71484,7037,MUMFORD RD,HALIFAX,00205856,600000,Building - Commercial - Final,Commercial,Clinic,,,2661,22,Interior dental fit up on the first floor. LAWEN DENTISTRY.,Y,2025-01-24 12:00:00,District 09,Passed,67,0,2412
BPCOM-2024-04701,4/18/2024 12:00:00 PM,5/6/2024 12:00:00 PM,5/9/2024 12:00:00 PM,5/6/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,172469,61,STELLA DR,PORTERS LAKE,40243032,25000,Building - Commercial - Final,Commercial,Clinic,,,929,1,"Leasehold improvement to create 'Monarch Denture Clinic'
Unit 101",Y,2024-05-09 12:00:00,District 02,Passed,7.77,0,2462
BPCOM-2024-12190,9/2/2024 12:00:00 PM,9/16/2024 12:00:00 PM,3/14/2025 12:00:00 PM,9/16/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,47446,827,BEDFORD HWY,BEDFORD,00430538,220000,Building - Commercial - Final,Commercial,Clinic,,,1196,4,Renovation for Dental Clinic,Y,2025-02-25 12:00:00,District 16,Passed,12,0,2501
BPCOM-2024-16088,2/24/2025 12:00:00 PM,5/22/2025 12:00:00 PM,,5/22/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,New Building,New Building,Issued,71551,1940,GOTTINGEN ST,HALIFAX,00002063,51145219,Building - Plumbing - Underground,Commercial,Clinic,,,1857,6,Construct 6 Story Mi'Kmaq Native Friendship Centre.,Y,2026-01-08 12:00:00,District 07,Passed,25.8,0,2511
BPCOM-2025-03332,3/17/2025 12:00:00 PM,4/14/2025 12:00:00 PM,8/14/2025 12:00:00 PM,4/14/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,140498,170,CROMARTY DR,DARTMOUTH,41244179,450000,Building - Commercial - Final,Commercial,Clinic,,,3390,2,"Scope of Work; Renovation existing leasehold space (Group D) to create Orthodontics/Dental clinic (Group D) for 'Ocean Orthodontics.'

Maximum Occupant Load reviewed as 40 Person.",Y,2025-08-14 12:00:00,District 06,Passed,7,0,2544
BPCOM-2025-04335,5/16/2025 12:00:00 PM,5/29/2025 12:00:00 PM,4/20/2026 12:00:00 PM,5/29/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,193740,1540,DRESDEN ROW,HALIFAX,41262924,750000,Building - Commercial - Final,Commercial,Clinic,,,182127,1,"Scope of work is limited to:
Renovating an existing commercial space for a new NSHA Halifax Citadel Primary Health Clinic in Park Lane Mall.  Located in unit 3030.",Y,2026-04-15 12:00:00,District 07,Passed,50,0,2551
BPCOM-2025-04738,4/7/2025 12:00:00 PM,4/29/2025 12:00:00 PM,,4/29/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,16669,230,CHAIN LAKE DR,HALIFAX,40619330,550000,Building - Commercial - Final,Commercial,Retail Use,,,10867,1,interior renovation and mezzanine addition of the existing pharmacy department inside the building.,Y,2025-12-17 12:00:00,District 12,Partially Passed,9.34,0,2553
BPCOM-2025-08434,6/9/2025 12:00:00 PM,7/8/2025 12:00:00 PM,3/27/2026 12:00:00 PM,7/8/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,47571,7,SCARFE CRT,DARTMOUTH,40510299,1500000,Building - Commercial - Final,Institutional and Governmental,Clinic,,,810,3,"Renovation of existing 2 story office building, including new classroom and lab space, lunchroom expansion, and mechanical upgrades.",Y,2026-03-27 12:00:00,District 06,Passed,6.1,0,2563
BPCOM-2026-04660,5/19/2026 12:00:00 PM,6/19/2026 12:00:00 PM,,6/19/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,22342,102,CHAIN LAKE DR,BEECHVILLE,40416372,469000,Building - Commercial - Prior to Drywall,Commercial,Clinic,,,2851.2,2,"Commercial interior tenant fit-up / renovation of existing space for physiotherapy, chiropractic and wellness clinic.",Y,2026-07-03 12:00:00,District 12,Partially Passed,9.14,0,2627
