"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","ISSUEDDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","STATSCANADABUILDINGCODE","STATSCANADABUILDINGCODEDESC","STATSCANADAWORKCODE","STATSCANADAWORKCODEDESC","STATSCANADAUNITSCREATED","STATSCANADAUNITSLOST","BUILDINGAREAM2","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","CONSTRUCTIONVALUE"
"BP012406","BUILDING - RESIDENTIAL","GARAGE-DET","COMPLETED","5/8/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","4/26/2013 12:00:00 AM","4209015060001","WESTMINSTER","110","SINGLE HOUSE","15","GARAGE & CARPORT","","","82.13000000","","1506","9 AVE N","1506 9 AVE N","406R","166","3,4","PLAN 406R  BLOCK 166  LOTS 3 AND 4","344774","30940.00000000"
"BP012407","BUILDING - RESIDENTIAL","BSMNT DEV","COMPLETED","5/9/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","8/1/2012 12:00:00 AM","4080106260001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","43.10000000","","626","MARIE VAN HAARLEM CRES N","626 MARIE VAN HAARLEM CRES N","1012382","2","129","PLAN 1012382 BLOCK 2 LOT 129","458826","11600.00000000"
"BP012408","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/9/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","9/26/2012 12:00:00 AM","4080605530001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","88.82000000","","553","MARY CAMERON CRES N","553 MARY CAMERON CRES N","1012382","11","39","PLAN 1012382 BLOCK 11 LOT 39","458794","73935.00000000"
"BP012409","BUILDING - RESIDENTIAL","FT & FNDTN","COMPLETED","5/9/2012 12:00:00 AM","5/9/2012 12:00:00 AM","5/15/2012 12:00:00 AM","6/15/2012 12:00:00 AM","4080605530001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","04","FOUNDATION","","","88.82000000","","553","MARY CAMERON CRES N","553 MARY CAMERON CRES N","1012382","11","39","PLAN 1012382 BLOCK 11 LOT 39","458794","1200.00000000"
"BP012410","BUILDING - RESIDENTIAL","OTHER","COMPLETED","5/9/2012 12:00:00 AM","5/9/2012 12:00:00 AM","5/9/2012 12:00:00 AM","3/4/2014 12:00:00 AM","1210127190001","LAKEVIEW","110","SINGLE HOUSE","14","SWIMMING POOL","","","0.00000000","","2719","10A AVE S","2719 10A AVE S","88GQ","5","7","PLAN 88GQ BLOCK 5 LOT 7","350710","1044.00000000"
"BP012411","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/9/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","3/13/2013 12:00:00 AM","2060806130001","COPPERWOOD","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","142.70000000","","613","TWINRIVER CRES W","613 TWINRIVER CRES W","1112179","5","64","PLAN 1112179 BLOCK 5 LOT 64","460524","137653.00000000"
"BP012412","BUILDING - RESIDENTIAL","NEW 2 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","6/11/2013 12:00:00 AM","2066700810001","SUNRIDGE","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","1.00000000","","66.43000000","","81","MT SUNDIAL CRT W","81 MT SUNDIAL CRT W","1113211","6","65","PLAN 1113211 BLOCK 6 LOT 65","460927","71110.00000000"
"BP012413","BUILDING - RESIDENTIAL","NEW 2 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","4/26/2013 12:00:00 AM","2066700790001","SUNRIDGE","210","DUPLEX (SIDExSIDE)","01","NEW CONSTRUCTION","1.00000000","","66.43000000","","79","MT SUNDIAL CRT W","79 MT SUNDIAL CRT W","1113211","6","64","PLAN 1113211 BLOCK 6 LOT 64","460926","71110.00000000"
"BP012414","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/10/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/25/2012 12:00:00 AM","4/15/2014 12:00:00 AM","2084002490001","RIVERSTONE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","98.40000000","","249","RIVERPARK BLVD W","249 RIVERPARK BLVD W","0715805","8","88","PLAN 0715805 BLOCK 8 LOT 88","454036","161032.00000000"
"BP012415","BUILDING - RESIDENTIAL","DECK","COMPLETED","5/10/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","6/25/2012 12:00:00 AM","1083901400007","FAIRMONT","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","13.94000000","7","140","FAIRMONT RD S","7-140 FAIRMONT RD S","0613462","","7","CONDOMINIUM PLAN 0613462 UNIT 7","425512","3750.00000000"
